thscode,time,open,high,low,close,volume,market_cap,industry,index_name
399001.SZ,2024-01-15,8957.7161,9045.5473,8912.4452,8963.9261,321736818.23,,,深证成指
399001.SZ,2024-01-16,8946.9341,9002.3432,8871.1875,8992.0726,367278109.8,,,深证成指
399001.SZ,2024-01-17,8968.5262,8968.5262,8759.7577,8759.7577,335603510.31,,,深证成指
399001.SZ,2024-01-18,8706.142,8858.3962,8585.1999,8847.0034,443596678.7,,,深证成指
399001.SZ,2024-01-19,8821.7651,8890.1194,8771.5813,8787.0249,334078648.14,,,深证成指
399001.SZ,2024-01-22,8769.3928,8769.3928,8430.6142,8479.5495,419979420.1,,,深证成指
399001.SZ,2024-01-23,8465.0026,8638.8951,8402.0634,8596.281,378235429.38,,,深证成指
399001.SZ,2024-01-24,8633.1676,8693.0823,8404.0686,8682.1862,408086011.65,,,深证成指
399001.SZ,2024-01-25,8661.4465,8858.2079,8621.184,8856.2234,434981714.13,,,深证成指
399001.SZ,2024-01-26,8809.7638,8859.6275,8746.0953,8762.3287,411948465.98,,,深证成指
399001.SZ,2024-01-29,8775.384,8800.6436,8581.7588,8581.7588,394325661.76,,,深证成指
399001.SZ,2024-01-30,8523.7373,8579.5947,8370.0598,8375.9816,338726319.22,,,深证成指
399001.SZ,2024-01-31,8340.7179,8408.6661,8208.4472,8212.8445,431254596.52,,,深证成指
399001.SZ,2024-02-01,8172.8107,8371.3796,8134.8129,8240.4829,397246424.81,,,深证成指
399001.SZ,2024-02-02,8239.5021,8300.7496,7840.6209,8055.7747,468595116.3,,,深证成指
399001.SZ,2024-02-05,7987.3366,8171.765,7683.6267,7964.712,537044650.55,,,深证成指
399001.SZ,2024-02-06,7886.32,8471.2781,7880.4047,8460.3788,592075925.88,,,深证成指
399001.SZ,2024-02-07,8464.8742,8724.1736,8445.7058,8708.2406,616780239.89,,,深证成指
399001.SZ,2024-02-08,8750.5365,8975.0531,8742.9494,8820.6029,626414267.5,,,深证成指
399001.SZ,2024-02-19,8957.275,8957.275,8797.4586,8902.3337,557365100.69,,,深证成指
399001.SZ,2024-02-20,8857.5041,8919.8079,8798.4343,8905.962,441775862.65,,,深证成指
399001.SZ,2024-02-21,8829.7043,9130.0343,8798.3665,8975.9741,543634895.74,,,深证成指
399001.SZ,2024-02-22,8971.4394,9050.2738,8946.2445,9043.7482,458089489.52,,,深证成指
399001.SZ,2024-02-23,9074.614,9077.5633,8971.3404,9069.415,520275040.73,,,深证成指
399001.SZ,2024-02-26,9070.2217,9154.5978,9023.3252,9066.0868,558701304.17,,,深证成指
399001.SZ,2024-02-27,9032.2591,9269.5679,9016.6076,9269.5679,533396102.27,,,深证成指
399001.SZ,2024-02-28,9293.1467,9391.5246,9047.0952,9047.0952,766864111.68,,,深证成指
399001.SZ,2024-02-29,9001.2834,9334.9438,9001.2834,9330.4431,565455991.85,,,深证成指
399001.SZ,2024-03-01,9345.738,9452.6334,9298.1603,9434.7471,539671125.17,,,深证成指
399001.SZ,2024-03-04,9456.3734,9486.7031,9359.8398,9438.2444,530099408.16,,,深证成指
399001.SZ,2024-03-05,9371.9429,9448.7348,9344.4494,9416.8042,511035318.84,,,深证成指
399001.SZ,2024-03-06,9366.7097,9487.1871,9309.8447,9395.6541,466361055.82,,,深证成指
399001.SZ,2024-03-07,9398.051,9454.5352,9267.1168,9267.1168,511178100.92,,,深证成指
399001.SZ,2024-03-08,9281.6083,9386.7464,9230.0643,9369.0462,435687360.85,,,深证成指
399001.SZ,2024-03-11,9369.6469,9581.6558,9363.4105,9581.5338,492214428.47,,,深证成指
399001.SZ,2024-03-12,9603.4546,9649.7432,9535.2081,9630.5452,565737507.12,,,深证成指
399001.SZ,2024-03-13,9640.0912,9674.1397,9568.8831,9604.9936,527631403.57,,,深证成指
399001.SZ,2024-03-14,9598.4179,9675.4706,9489.0184,9555.4162,509058042.16,,,深证成指
399001.SZ,2024-03-15,9532.4227,9616.4949,9455.5079,9612.7499,476506834.8,,,深证成指
399001.SZ,2024-03-18,9665.0701,9752.8338,9646.2132,9752.8338,562355129.99,,,深证成指
399001.SZ,2024-03-19,9723.4036,9785.0974,9696.6875,9696.6875,534551977.69,,,深证成指
399001.SZ,2024-03-20,9669.7029,9725.3056,9654.5276,9717.3729,511389021.7,,,深证成指
399001.SZ,2024-03-21,9736.2318,9758.3348,9663.4854,9682.5098,558907397.99,,,深证成指
399001.SZ,2024-03-22,9659.8752,9680.2135,9505.9933,9565.5635,565281971.99,,,深证成指
399001.SZ,2024-03-25,9538.3546,9601.8367,9421.0784,9422.6124,527558320.43,,,深证成指
399001.SZ,2024-03-26,9413.2555,9490.7541,9366.0021,9449.4292,485153702.01,,,深证成指
399001.SZ,2024-03-27,9437.5578,9437.6713,9222.4658,9222.4658,467833994.31,,,深证成指
399001.SZ,2024-03-28,9221.5311,9440.3075,9221.5311,9342.9187,480632716.95,,,深证成指
399001.SZ,2024-03-29,9335.1135,9400.8526,9304.7603,9400.8526,450746607.65,,,深证成指
399001.SZ,2024-04-01,9451.726,9647.0718,9451.726,9647.0718,517323806.01,,,深证成指
399001.SZ,2024-04-02,9633.969,9633.969,9546.4736,9586.9524,530838772.46,,,深证成指
399001.SZ,2024-04-03,9564.646,9575.5553,9508.6456,9544.7657,493831834.53,,,深证成指
399001.SZ,2024-04-08,9512.6014,9525.954,9393.6133,9394.606,481052348.39,,,深证成指
399001.SZ,2024-04-09,9386.7994,9449.6543,9352.352,9448.9808,413718827.8,,,深证成指
399001.SZ,2024-04-10,9425.8017,9425.8017,9243.7966,9297.9597,444036697.53,,,深证成指
399001.SZ,2024-04-11,9234.9171,9378.4347,9233.2694,9300.7709,418938909.66,,,深证成指
399001.SZ,2024-04-12,9301.0757,9343.1818,9212.5953,9228.2347,416535602.87,,,深证成指
399001.SZ,2024-04-15,9228.135,9407.0679,9189.959,9369.7015,545699161.86,,,深证成指
399001.SZ,2024-04-16,9312.4928,9341.9693,9148.8211,9155.069,535620248.14,,,深证成指
399001.SZ,2024-04-17,9180.512,9381.7723,9180.512,9381.7723,509475898.22,,,深证成指
399001.SZ,2024-04-18,9336.7339,9477.1332,9299.3331,9376.8055,483751481.37,,,深证成指
399001.SZ,2024-04-19,9316.9759,9351.9556,9220.6376,9279.4602,439773630.59,,,深证成指
